Count,date,format,country,counterparty,message
1,2024 Feb 11,letter,USA,Lincoln High School,replied a Lunar New Year greeting card
2,2024 Feb 24,letter,USA,Iowa Muscatine High School students,reply to letter of students
1,2024 Feb 02,message,Vietnam,general secretary of the Communist Party of Vietnam (CPV) Central Committee Nguyen Phu Trong,greetings for Spring Festival
2,2024 Feb 07,message,Chile,President Boric,condolences over the passing of Chile's former President Piñera 
3,2024 Feb 17,message,African Union,AU,congratulations on AU summit
1,2024 Feb 05,phone,Namibia,President Mbumba,condolences over Namibia's previous president
2,2024 Feb 05,phone,El Salvador,President Nayib Bukele,congratulations on re-election
3,2024 Feb 07,phone,Namibia,President Mbumba,congratulations on assuming presidential office
4,2024 Feb 16,phone,Finland,President Stubb,congratulations on the election
5,2024 Feb 22,phone,R Congo,President Nguesso,60th anniversary of diplomatic relations
6,2024 Feb 29,phone,Hungary,President Sulyok,congratulations on the election
1,2024 Feb 28,visit in Beijing,Sierra Leone,President Bio,official visit
