Count,date,format,country,counterparty,message
1,2024 Apr 09,letter,Brazil,President Lula,congratulations on the 7th seminar of CCP and Worker's Party
2,2024 Apr 24,letter,LatAm Caribbean countries,1st Space Forum,congratulations on the 1st Space column
3,2024 Apr 29,letter,Serbia,Smederevo steel workers,reply a letter
1,2024 Apr 04,message,Malta,President Debono,congratulations on taking president office
2,2024 Apr 11,message,Slovakia,President Pellegrini,congratulations on the election
3,2024 Apr 20,message,Gabon,Transitional President Nguema,congratulations on the 50th anniversary of diplomatic relations
4,2024 Apr 26,message,Tanzania,President Hassan,60th anniversary of diplomatic relations
1,2024 Apr 02,phone,USA,President Biden,exchange of views
1,2024 Apr 01,visit in Beijing,Indonesia,President elect Subianto,visit in China
2,2024 Apr 08,visit in Beijing,Vietnam,National Assembly Chairman Vuong Dinh Hue,visit in Beijing
3,2024 Apr 08,visit in Beijing,France,Merieux Foundation President Merieux and his wife,visit in Beijing
4,2024 Apr 09,visit in Beijing,Federated States of Micronesia,President Simina,official visit in Beijing
5,2024 Apr 09,visit in Beijing,Russia,Foreign Minister Lavrov,visit in Beijing
6,2024 Apr 12,visit in Beijing,Suriname,President Santokhi,official visit
7,2024 Apr 16,visit in Beijing,Germany,Chancellor Scholz,official visit
8,2024 Apr 26,visit in Beijing,USA,Secretary of State Blinken,visit
