Count,date,format,country,counterparty,message
1,2024 May 17,letter,8th China-Russia Expo,8th China-Russia Expo,congratulations on the opening
2,2024 May 23,letter,China-GCC Forum,China-GCC Forum,congratulation letter
3,2024 May 26,letter,Chinese language education project in the United Arab Emirates,student representatives of the Hundred Schools Project,reply a letter
1,2024 May 04,message,15th Islamic Cooperation summit in Banjul capital of The Gambia,Organization of Islamic Cooperation (OIC),congratulations
2,2024 May 11,message,Panama,President Mulino,congratulation on election
3,2024 May 16,message,33rd Arab League Summit,King of Bahrain Hamad,congratulation on the opening
4,2024 May 20,message,Iran,Vice President Mokhber,condolences over the death of president in a helicopter accident
5,2024 May 21,message,North Macedonia,President Siljanovska-Davkova,congratulation on assuming president office
6,2024 May 21,message,Chad,President Itno,congratulations on the election
7,2024 May 22,message,Vietnam,President Lam,congratulations on assuming office
8,2024 May 22,message,14th China-US Tourism Summit,14th China-US Tourism Summit,congratulations on opening
9,2024 May 22,message,Dominican Republic,President Abinader,congratulations on the re-election
10,2024 May 31,message,Malaysia,King Iskandar,50th anniversary of diplomatic ties
1,2024 May 05,visit abroad,France,President Macron,state visit
2,2024 May 06,visit abroad,France,President Macron,state visit
3,2024 May 07,visit abroad,France,President Macron,restaurant in South France
4,2024 May 07,visit abroad,Serbia,President Vucic,state visit
5,2024 May 08,visit abroad,Serbia,President Vucic,state visit
6,2024 May 09,visit abroad,Hungary,President Sulyok,state visite
7,2024 May 10,visit abroad,Hungary,Prime Minister Orban,state visite
1,2024 May 16,visit in Beijing,Russia,President Putin,state visit
2,2024 May 28,visit in Beijing,Equatorial Guinea,President Mbasogo,state visit
3,2024 May 29,visit in Beijing,Egypt,President El-Sisi,state visit
4,2024 May 30,visit in Beijing,China-Arab States Cooperation Forum,China-Arab States Cooperation Forum,10th China-Arab States Cooperation Forum
5,2024 May 30,visit in Beijing,UAE,President Nahyan,state visit
6,2024 May 31,visit in Beijing,Tunisia,President Saied,state visit
7,2024 May 31,visit in Beijing,Bahrain,King Khalifa,state visit
